new_urls,count
https://www.jabong.com/men-campus,1259
https://www.jabong.com/men-nike,1242
https://www.jabong.com/men-nike,1242
https://www.jabong.com/men-trackwear,2
https://www.jabong.com/shoes,47537
https://www.jabong.com/fcuk-shop-online,0
https://www.jabong.com/women-laptop-bags-sleeves,failed
https://www.jabong.com/men-tracksuits,255
https://www.jabong.com/women-clutches,1292
https://www.jabong.com/men-lapel-pins,205
https://www.jabong.com/women-backpack,2207
https://www.jabong.com/home-living-carpets-rugs,0
https://www.jabong.com/women-shree,2151
https://www.jabong.com/men-cargos,32
https://www.jabong.com/women-tees,7796
https://www.jabong.com/accessories-store,1815
https://www.jabong.com/home-living-cushions,4719
https://www.jabong.com/men-duffle-bags,62
https://www.jabong.com/allen_solly,0
https://www.jabong.com/women-nike,549
https://www.jabong.com/men-online-sale,176131
https://www.jabong.com/men-nike,1242
https://www.jabong.com/women-winter-wear,3801
https://www.jabong.com/men-denim-shirts,7
https://www.jabong.com/women-strapless-bra,80
failed,29
https://www.jabong.com/men-jackets,3807
https://www.jabong.com/women-shoes,23715
https://www.jabong.com/men-sweaters,3421
https://www.jabong.com/only-shop-online,0
https://www.jabong.com/men-new-products,1
https://www.jabong.com/men-levis,1038
https://www.jabong.com/men-new-products,1
https://www.jabong.com/calvin-klein-jeans,618
https://www.jabong.com/men-caps,486
https://www.jabong.com/women-women-sweatshirts,14
https://www.jabong.com/men-color-black,279
https://www.jabong.com/men-nike,1242
https://www.jabong.com/women-wallets-purses-potlis,0
https://www.jabong.com/men-windcheaters,6
https://www.jabong.com/women-bracelets,1016
https://www.jabong.com/men-joggers,878
https://www.jabong.com/men-casual-trousers,6091
https://www.jabong.com/kids-shoes,2147
https://www.jabong.com/men-jackets-blazers,5044
https://www.jabong.com/men-united-colors-of-benetton,3034
https://www.jabong.com/kids-apparel,47458
https://www.jabong.com/women-lingerie-sets,114
https://www.jabong.com/kids-boys-apparel,47458
https://www.jabong.com/kids-kids-dresses-skirts,0
https://www.jabong.com/new-era-store,148
https://www.jabong.com/men-nike,1242
https://www.jabong.com/online-sale-men,176131
https://www.jabong.com/women-new-products,243748
https://www.jabong.com/men-lee_cooper,1048
https://www.jabong.com/men-socks,708
https://www.jabong.com/women-fashion-jewellery,5
https://www.jabong.com/men-digital-watches,110
https://www.jabong.com/vero-moda,3398
https://www.jabong.com/men-loafers,2660
https://www.jabong.com/men-hoodies,4030
https://www.jabong.com/women-lehengas,366
https://www.jabong.com/beauty-lakme,152
https://www.jabong.com/men-adidas,2407
https://www.jabong.com/jabong-referral-program,0
https://www.jabong.com/men-new-products,1
https://www.jabong.com/women-nike,549
https://www.jabong.com/men-skechers,83
https://www.jabong.com/men-color-white,318
https://www.jabong.com/mobileapp,0
https://www.jabong.com/diwali-offers,0
https://www.jabong.com/men-ruosh,356
https://www.jabong.com/offers-terms-and-conditions,5880
https://www.jabong.com/men-corduroy-trousers,121
https://www.jabong.com/home-living-blankets,4719
https://www.jabong.com/women-off-shoulder-dresses,118
https://www.jabong.com/fossil,285
https://www.jabong.com/home-living-blankets-quilts,0
https://www.jabong.com/women-aurelia,548
https://www.jabong.com/men-raymond,1272
https://www.jabong.com/women-apparel-accessories,154696
https://www.jabong.com/kids-kids-shorts-capris,4
https://www.jabong.com/women-track-wear,256
https://www.jabong.com/pepe-jeans,4050
https://www.jabong.com/tommy_hilfiger,3054
https://www.jabong.com/women-new-products,243748
https://www.jabong.com/women-color-white,98
https://www.jabong.com/big-billion-days,0
https://www.jabong.com/women-kurtas-suit-sets,22834
https://www.jabong.com/women-online-sale,243748
https://www.jabong.com/men-laptop-bags-sleeves,44
https://www.jabong.com/kids-kids-t-shirts,8408
https://www.jabong.com/women-sports-bra,570
https://www.jabong.com/men-puma,3951
https://www.jabong.com/alia-bhatt-shop-online,378
https://www.jabong.com/terms-condition-gas,542
https://www.jabong.com/men-crocodile,624
https://www.jabong.com/and,5880
https://www.jabong.com/women-wedges,3185
https://www.jabong.com/bags-american-tourister,37
https://www.jabong.com/women-sabhyata,197
https://www.jabong.com/women-casio,189
https://www.jabong.com/home-living-bedsheets,4719
https://www.jabong.com/men-ray-ban,44
https://www.jabong.com/discount-more-than-49,6
